Bin#,Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
1,Goodwill Bins S ATX,Do Everything in Love Kimono Fringe Shawl Boho OS,A0454,$0.91 ,$0.98 ,1/26/2020,20201,,,,,,,,,940
,Goodwill Bins S ATX,Vince Color Block Dolman Long Sleeve Mouline Tee XS,A0457,$0.91 ,$0.98 ,1/28/2020,20201,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$19.02 ,6/5/2021,20216,494
1,Goodwill Bins S ATX,Halogen Plus Size Double V Neck Black White Rope 1X,A0459,$0.91 ,$0.98 ,1/25/2020,20201,,,,,,,,,941
,Goodwill Bins S ATX,Toms Silver Sparkly Glitter Slip On Flat 10,A0461,$0.91 ,$0.98 ,1/23/2020,20201,Poshmark,$14.00 ,$2.95 ,$2.46 ,$8.59 ,$7.61 ,3/31/2021,20213,433
N/A,Goodwill Bins S ATX,Kenneth Cole Kassie Slip On Sneakers Size 9M,A0462,$0.91 ,$0.98 ,1/24/2020,20201,,,,,,,,,942
N/A,Goodwill Bins S ATX,Restricted Gladiator Sandal Zipper Low Heel 7.5,A0466,$0.91 ,$0.98 ,1/24/2020,20201,,,,,,,,,942
,Goodwill Bins S ATX,Aerosoles Plush Pillow Wedge Sandal 6.5,A0467,$0.91 ,$0.98 ,1/23/2020,20201,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$15.02 ,4/12/2021,20214,445
14,Goodwill Bins S ATX,3/$20 Black & White Tie Dye Print Fringe Tassel Scarf,A0475,$0.91 ,$0.98 ,1/24/2020,20201,,,,,,,,,942
14,Goodwill Bins S ATX,3/$20 Navy Semi-Sheer Embroidered Scarf,A0477,$0.91 ,$0.98 ,1/26/2020,20201,Poshmark,$12.50 ,$1.88 ,$3.72 ,$6.90 ,$5.92 ,10/8/2021,202110,621
,Clothes Mentor Selma,Altar'd State Floral Crochet Romper M,A0478,$1.50 ,$1.62 ,1/31/2020,20201,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$10.38 ,1/1/2021,20211,336
7,Clothes Mentor Selma,CAbi Sheer Dolman Ombre Fade Out Blouse XS,A0480,$1.20 ,$1.30 ,1/31/2020,20201,,,,,,,,,935
12-Nov,Clothes Mentor Selma,Love by Chelsey Boho Aztec Tunic M,A0482,$1.10 ,$1.19 ,1/31/2020,20201,,,,,,,,,935
1,Clothes Mentor Selma,Altar'd State Boho Lace Paisely Long Sleeve Top S,A0485,$1.00 ,$1.08 ,2/1/2020,20202,,,,,,,,,934
7,Clothes Mentor Selma,Nike Dri Fit Racer Back Tank S,A0489,$1.10 ,$1.19 ,2/12/2020,20202,,,,,,,,,923
7,Goodwill Bins SAT,The Nike Tee Athletic Cut Racerback Tank M,A0493,$0.99 ,$1.07 ,2/6/2020,20202,,,,,,,,,929
