Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
Garage Sale,Black Rose ruffle blouse,A0164,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($2.00),8/14/2020,20208,335
Garage Sale,Marisol | Blush Pink Heart Print Top,A0165,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$21.99 ,$18.47 ,$0.00 ,$3.52 ,$1.52 ,8/28/2020,20208,349
Garage Sale,Tailored Sleeveless black and white print blouse,A0166,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$18.99 ,$16.29 ,$0.00 ,$2.70 ,$0.70 ,8/19/2020,20208,340
Garage Sale,Green & Black Striped Cold-Shoulder Crop Top,A0167,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($2.00),8/14/2020,20208,335
Texas Thrift Store,New York & Company geometric print tank,A0168,$1.00 ,$1.08 ,9/14/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.08),12/29/2020,202012,472
Closet,LOFT Linen Tank,A0169,$0.00 ,$0.00 ,9/29/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,12/29/2020,202012,457
Closet,Maroon Floral Tunic,A0170,$0.00 ,$0.00 ,9/29/2019,20199,ThredUp,$18.99 ,$16.29 ,$0.00 ,$2.70 ,$2.70 ,8/22/2020,20208,328
Closet,GAP Color Block Knit Top,A0171,$0.00 ,$0.00 ,9/29/2019,20199,Poshmark,$15.00 ,$3.00 ,$1.06 ,$10.94 ,$10.94 ,5/12/2020,20205,226
Closet,Express Cream Lace Blouse,A0172,$0.00 ,$0.00 ,9/29/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,12/29/2020,202012,457
Closet,American Eagle Strappy Sueded Tank,A0173,$0.00 ,$0.00 ,9/29/2019,20199,Poshmark,$10.00 ,$2.95 ,$2.12 ,$4.93 ,$4.93 ,5/17/2020,20205,231
Closet,PIKO 1988 Black Bodycon Long Sleeve Dress,A0174,$0.00 ,$0.00 ,11/13/2019,201911,,,,,,,,,1014
Closet,Olivia Rae Coral Swing Dress NWOT,A0175,$0.00 ,$0.00 ,11/13/2019,201911,Poshmark,$14.50 ,$2.90 ,$0.00 ,$11.60 ,$11.60 ,3/19/2020,20203,127
Closet,Rampage Black Bodycon Strappy Cocktail Dress,A0176,$0.00 ,$0.00 ,11/13/2019,201911,,,,,,,,,1014
