Bin#,Source,SKU,Item,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
3,ThredUp,A0936,42pops Sequin Sleeve Knit Pocket Tee M,$5.00 ,$5.41 ,6/2/2020,20206,,,,,,,,,812
12-Nov,ThredUp,A0937,Boho Cream Crochet Slip Dress S,$5.00 ,$5.41 ,7/27/2020,20207,,,,,,,,,757
12-Nov,ThredUp,A0938,Love Tree Boho Floral Sleeveless Dress S,$4.00 ,$4.33 ,5/17/2020,20205,,,,,,,,,828
12-Nov,ThredUp,A0940,Everly Boho Hippie Sleeveless Shift Dress S,$5.00 ,$5.41 ,5/23/2020,20205,,,,,,,,,822
,ThredUp,A0941,Boho Black Blouse with White Pattern S,$4.50 ,$4.87 ,6/2/2020,20206,,,,,,,,,812
4,ThredUp,A0942,Boho Green Blouse with White Pattern L,$5.00 ,$5.41 ,6/2/2020,20206,,,,,,,,,812
12-Nov,ThredUp,A0947,Collective Concepts Dress Bat Wing Sleeve Elastic Waist S,$4.20 ,$4.55 ,5/15/2020,20205,,,,,,,,,830
12-Nov,ThredUp,A0950,Bohemian A-Line Dress 3/4 Sleeves S,$4.00 ,$4.33 ,5/16/2020,20205,,,,,,,,,829
5,ThredUp,A0951,41Hawthorn Beckett V-Neck Sleeveless Blouse M,$4.80 ,$5.20 ,5/16/2020,20205,,,,,,,,,829
N/A,Goodwill Austin Hwy,A0960,Sam Edelman Circus Bomb Shell Striped Espadrilles 7,$3.99 ,$4.32 ,6/27/2020,20206,,,,,,,,,787
6,Goodwill NW Loop 410,A0964,Lilly Pulitzer Captiva Tunic Resort White XS,$6.49 ,$7.03 ,7/27/2020,20207,,,,,,,,,757
3,Goodwill Austin Hwy,A0967,Zara Woman Poplin Top Striped Tie Front S,$4.79 ,$5.19 ,6/4/2020,20206,,,,,,,,,810
,Goodwill Austin Hwy,A0968,Brandy Melville Gabriella Long Sleeve Black Romper OS,$6.49 ,$7.03 ,Unlisted,,,,,,,,,,
4,Goodwill Austin Hwy,A0970,Harley Davidson Unisex Museum T Shirt Black M,$2.99 ,$3.24 ,6/6/2020,20206,,,,,,,,,808
5,Goodwill Austin Hwy,A0971,Harley Davidson Women's Graphic T Shirt Black V Neck L,$4.79 ,$5.19 ,6/6/2020,20206,,,,,,,,,808
12-Nov,Goodwill Austin Hwy,A0975,Fame and Partners Rivera Polka Dot Long Sleeve Dress 6,$6.49 ,$7.03 ,6/8/2020,20206,,,,,,,,,806
12-Nov,Goodwill Austin Hwy,A0976,St. John Collection Silk Floral Sleeveless Dress 8,$6.49 ,$7.03 ,6/7/2020,20206,Poshmark,$48.00 ,$9.60 ,$0.00 ,$38.40 ,$31.37 ,5/21/2022,20225,713
12-Nov,Goodwill Austin Hwy,A0977,Badgley Mischka Collection LBD Black Color Block Sleeveless Dress 8,$6.49 ,$7.03 ,6/4/2020,20206,Poshmark,$54.00 ,$10.80 ,$1.72 ,$41.48 ,$34.45 ,5/20/2022,20225,715
10-Sep,Goodwill Cibolo,A0984,Nike Club Cropped Legging Capri Pink Black S,$4.79 ,$5.19 ,5/22/2020,20205,,,,,,,,,823
7,Goodwill Austin Hwy,A0987,Cable & Gauge Color Block Knit Top 3/4 Sleeve S,$4.79 ,$5.19 ,5/24/2020,20205,,,,,,,,,821
